,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,Travel company,Name,VIP,RoomService,FoodCourt,Travel Outcome
0,0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,Tulsa Inc,Maham Ofracculy,False,0.0,0.0,Succesfully reached Destination
1,0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,Blue Horizon,Juanna Vines,False,109.0,9.0,Succesfully reached Destination
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,Blue Horizon,Altark Susent,True,43.0,3576.0,Reached wrong destination
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,Tulsa Inc,Solam Susent,False,0.0,1283.0,Succesfully reached Destination
4,0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,Blue Horizon,Willy Santantines,False,303.0,70.0,Succesfully reached Destination
5,0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,Tulsa Inc,Sandie Hinetthews,False,0.0,483.0,Succesfully reached Destination
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,Tulsa Inc,Billex Jacostaffey,False,42.0,1539.0,Reached wrong destination
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,Tulsa Inc,Candra Jacostaffey,False,0.0,0.0,Failed to reach
8,0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,Blue Horizon,Andona Beston,False,0.0,785.0,Reached wrong destination
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,Tulsa Inc,Erraiam Flatic,False,0.0,0.0,Reached wrong destination
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,Tulsa Inc,Altardr Flatic,False,0.0,0.0,Succesfully reached Destination
11,0008_03,Europa,False,B/1/P,55 Cancri e,45.0,Tulsa Inc,Wezena Flatic,False,39.0,7295.0,Failed to reach
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,Tulsa Inc,Berers Barne,False,73.0,0.0,Succesfully reached Destination
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,Blue Horizon,Reney Baketton,False,719.0,1.0,Failed to reach
